Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2021-08;National;NIMES;PARIS LYON;180;327;0;;172;11.99835271;6.3915123456790095;;71;29.97488263;7.854218107;;64;31.81432292;26;2;50.70422535;15.49295775;9.85915493;2.816901408;9.85915493;11.26760563
2021-09;National;NIMES;PARIS LYON;179;219;2;;55;12.87060606;5.703066667;;43;56.79379845;8.2;;41;58.98130081;31;9;42.85714286;9.523809524;7.142857143;26.19047619;7.142857143;7.142857143
2021-10;National;NIMES;PARIS LYON;181;239;0;;153;13.957516339869304;8.931450488;;61;34.38579235;10.16617852;;57;35.92105263;19;5;36.06557377;31.14754098;11.47540984;9.836065574;6.557377049;4.918032787
2021-11;National;NIMES;PARIS LYON;180;221;0;;183;12.51885246;10.3852187;;71;41.17605634;15.14396682;;63;44.8037037;32;9;18.30985915;26.76056338;21.12676056;15.49295775;8.450704225;9.85915493
2021-12;National;NIMES;PARIS LYON;177;233;4;;66;15.72727273;4.493494152;;35;42.26714286;6.505190058479521;;29;48.40747126;17;6;20.58823529;23.529411764705905;20.58823529;11.76470588;11.76470588;11.76470588
2022-01;National;NIMES;PARIS LYON;176;219;0;;46;14.0384058;2.832115677;;19;38.27368421;3.248782344;;15;45.10777778;6;3;31.57894737;21.05263158;0.0;5.263157895;10.52631579;31.57894737
2022-02;National;NIMES;PARIS LYON;176;196;0;;45;10.1062963;2.270748299;;17;27.58235294117649;2.12244898;;13;32.05769231;3;1;11.76470588;5.882352941;23.52941176;35.29411765;23.52941176;0.0
2022-03;National;NIMES;PARIS LYON;177;228;0;;56;13.244642857142898;3.2204277286135703;;27;54.01975308641981;4.286651917;;21;65.36031746;9;5;14.81481481;37.03703704;14.81481481;18.51851852;0.0;14.81481481
2022-04;National;NIMES;PARIS LYON;178;238;0;;49;21.41802721;4.379901961;;34;56.13431373;9.016456583;;29;63.26149425;15;10;27.27272727;21.21212121;12.12121212;15.151515151515198;24.24242424;0.0
2022-05;National;NIMES;PARIS LYON;178;248;1;;98;15.27789116;6.077642276;;50;42.978;8.662737127;;37;53.11396396;23;9;20.0;22.0;28.000000000000004;6.0;14.000000000000002;10.0
