Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2021-08;National;MONTPELLIER;PARIS LYON;210;327;0;;191;11.56527051;6.833127572016461;;64;31.81432292;7.854218107;;64;31.81432292;26;2;53.125;15.625;10.9375;3.125;7.8125;9.375
2021-09;National;MONTPELLIER;PARIS LYON;210;219;2;;58;12.77988506;5.712919897;;41;58.98130081;11.35555556;;41;58.98130081;31;9;42.50000000000001;10.000000000000002;5.000000000000001;27.500000000000004;7.5;7.5
2021-09;National;MONTPELLIER;LYON PART DIEU;114;177;9;;31;10.57580645;3.108805031;;21;47.12857143;5.439150943;;16;57.58229167;13;5;61.11111111111111;0.0;11.11111111;5.555555556;22.22222222;0.0
2021-10;National;MONTPELLIER;PARIS LYON;211;239;0;;128;12.87057292;6.860390516;;57;35.92105263;10.16617852;;57;35.92105263;19;5;35.0877193;31.57894737;10.52631579;10.52631579;7.01754386;5.263157895
2021-10;National;MONTPELLIER;LYON PART DIEU;114;202;0;;63;15.10026455;4.781757877;;27;45.33209877;7.013349917;;26;46.59230769;15;8;26.92307692;30.76923077;7.692307692;7.692307692;11.53846154;15.38461538
2021-11;National;MONTPELLIER;PARIS LYON;210;221;0;;106;15.74669811;7.303030303030291;;63;44.8037037;15.12674242;;63;44.8037037;32;9;20.63492063;23.80952381;20.63492063;15.87301587;7.936507937;11.11111111
2021-11;National;MONTPELLIER;LYON PART DIEU;114;186;1;;51;12.37647059;3.5060688405797094;;29;32.47126437;6.91884058;;25;35.634;11;4;32.14285714;3.571428571428569;35.71428571;3.571428571428569;7.142857142857138;17.85714286
2021-12;National;MONTPELLIER;LYON PART DIEU;114;229;3;;57;17.14502924;4.401333333;;18;52.86481481481481;5.278;;15;60.60444444;8;4;22.22222222;11.11111111;16.66666667;0.0;27.77777778;22.22222222
2021-12;National;MONTPELLIER;PARIS LYON;208;233;4;;64;13.57265625;3.779678363;;29;48.40747126;6.505190058;;29;48.40747126;17;6;24.13793103;17.24137931;17.24137931;13.79310345;13.79310345;13.79310345
2022-01;National;MONTPELLIER;PARIS LYON;208;219;0;;64;11.55677083;3.342237443;;15;45.10777778;3.248782344;;15;45.10777778;6;3;33.33333333;13.33333333;0.0;6.666666667;13.33333333;33.33333333
2022-01;National;MONTPELLIER;LYON PART DIEU;114;220;1;;47;15.008156028368802;2.316437309;;18;38.84907407;4.087079511;;15;43.46;6;3;5.555555555555561;11.11111111;16.66666667;16.66666667;5.555555555555561;44.44444444
2022-02;National;MONTPELLIER;LYON PART DIEU;114;200;0;;45;12.5937037;2.91325;;15;34.22555556;3.785;;11;41.43030303;6;3;20.0;33.33333333;13.33333333;20.0;6.666666667;6.666666667
2022-02;National;MONTPELLIER;PARIS LYON;208;196;0;;38;11.3995614;2.246683673;;13;32.05769231;2.12244898;;13;32.05769231;3;1;15.38461538;7.692307692;15.38461538;30.76923077;30.76923077;0.0
2022-03;National;MONTPELLIER;PARIS LYON;208;227;0;;52;9.474358974;2.193759178;;20;60.425;5.236930984;;20;60.425;8;4;20.0;35.0;10.0;15.0;0.0;20.0
2022-03;National;MONTPELLIER;LYON PART DIEU;114;231;0;;53;13.63301887;3.226118326;;23;37.34130435;5.128499278499279;;19;42.60964912;11;3;8.695652173913041;17.391304347826097;17.391304347826097;17.391304347826097;13.043478260869602;26.08695652
2022-04;National;MONTPELLIER;LYON PART DIEU;114;241;1;;48;11.77847222;2.423809524;;25;37.11333333;4.858403361;;21;41.60396825;10;4;45.83333333;16.66666667;8.333333333;12.5;12.5;4.166666667
2022-04;National;MONTPELLIER;PARIS LYON;209;238;0;;63;17.86904762;4.766666666666671;;29;63.26149425;9.016456583;;29;63.26149425;15;10;25.0;25.0;3.571428571428569;17.85714286;28.57142857;0.0
2022-05;National;MONTPELLIER;PARIS LYON;209;248;1;;104;13.66810897;5.795934959349589;;37;53.11396396;8.662737127;;37;53.11396396;23;9;27.02702703;18.91891892;21.62162162;8.108108108;16.21621622;8.108108108
2022-05;National;MONTPELLIER;LYON PART DIEU;114;249;1;;67;17.30223881;4.786099865;;32;48.8671875;7.805195682;;31;49.97956989;17;8;37.5;12.5;9.375;18.75;15.625;6.25
2022-06;National;MONTPELLIER;PARIS LYON;209;262;0;;117;15.207122507122502;6.829452926;;63;55.97910053;16.30368957;;63;55.97910053;35;21;30.15873016;15.87301587;26.98412698;14.28571429;11.11111111;1.587301587
2022-06;National;MONTPELLIER;LYON PART DIEU;113;223;2;;64;13.33255208;3.550527903;;42;35.15;8.738536953;;29;44.97183908;16;9;14.63414634;17.07317073;31.70731707;12.19512195;17.07317073;7.317073170731709
2022-07;National;MONTPELLIER;LYON PART DIEU;114;272;1;;106;16.58569182;6.584753086;;76;36.06030702;12.12074074;;66;39.4489899;31;10;13.33333333;20.0;20.0;12.0;21.33333333;13.33333333
2022-07;National;MONTPELLIER;PARIS LYON;210;327;2;;220;19.23401515;13.07860082;;143;43.65617716;21.5031893;;143;43.65617716;63;30;30.76923077;16.78321678;25.17482517;11.88811189;9.090909091;6.293706294
