"Date","Départ","Arrivée","Nombre.de.trains.programmés","Nombre.de.trains.ayant.circulé","Nombre.de.trains.annulés","Nombre.de.trains.en.retard.à.l.arrivée","Taux.de.régularité","Nombre.de.trains.à.l.heure.pour.un.train.en.retard.à.l.arrivée"
"2019-07","PARIS-AUSTERLITZ","RODEZ/ALBI",25,22,3,7,68.1818181818182,2.14285714285714
"2019-06","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",26,18,8,0,100,0
"2019-06","CLERMONT-FERRAND","BÉZIERS",48,47,1,11,76.5957446808511,3.27272727272727
"2019-06","TOULOUSE-MATABIAU","BAYONNE",120,117,3,13,88.8888888888889,8
"2019-06","PARIS-AUSTERLITZ","RODEZ/ALBI",0,0,0,0,0,0
"2019-05","PARIS-AUSTERLITZ","RODEZ/ALBI",0,0,0,0,0,0
"2019-05","CLERMONT-FERRAND","BÉZIERS",40,38,2,1,97.3684210526316,37
"2019-05","TOULOUSE-MATABIAU","BAYONNE",124,122,2,9,92.6229508196721,12.5555555555556
"2019-05","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",28,26,2,1,96.1538461538462,25
"2019-04","TOULOUSE-MATABIAU","BAYONNE",120,120,0,27,77.5,3.44444444444444
"2019-04","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",27,22,5,0,100,0
"2019-04","CLERMONT-FERRAND","BÉZIERS",54,54,0,0,100,0
"2019-04","PARIS-AUSTERLITZ","RODEZ/ALBI",0,0,0,0,0,0
"2019-03","CLERMONT-FERRAND","BÉZIERS",61,61,0,5,91.8032786885246,11.2
"2019-03","PARIS-AUSTERLITZ","RODEZ/ALBI",21,21,0,2,90.4761904761905,9.5
"2019-03","TOULOUSE-MATABIAU","BAYONNE",10,10,0,3,70,2.33333333333333
"2019-03","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",27,26,1,2,92.3076923076923,12
"2019-02","CLERMONT-FERRAND","BÉZIERS",55,53,2,2,96.2264150943396,25.5
"2019-02","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",28,25,3,5,80,4
"2019-02","TOULOUSE-MATABIAU","BAYONNE",0,0,0,0,0,0
"2019-02","PARIS-AUSTERLITZ","RODEZ/ALBI",26,23,3,2,91.304347826087,10.5
"2019-01","TOULOUSE-MATABIAU","BAYONNE",23,21,2,2,90.4761904761905,9.5
"2019-01","CLERMONT-FERRAND","BÉZIERS",57,57,0,1,98.2456140350877,56
"2019-01","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",27,20,7,4,80,4
"2019-01","PARIS-AUSTERLITZ","RODEZ/ALBI",30,29,1,0,100,0
"2018-12","TOULOUSE-MATABIAU","BAYONNE",42,42,0,3,92.8571428571429,13
"2018-12","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",18,12,6,2,83.3333333333333,5
"2018-12","CLERMONT-FERRAND","BÉZIERS",41,38,3,2,94.7368421052632,18
"2018-12","PARIS-AUSTERLITZ","RODEZ/ALBI",14,11,3,3,72.7272727272727,2.66666666666667
"2018-11","TOULOUSE-MATABIAU","BAYONNE",0,0,0,0,0,0
"2018-11","PARIS-AUSTERLITZ","RODEZ/ALBI",22,19,3,3,84.2105263157895,5.33333333333333
